tempo_us,angulo_deg,motor_percent
703199,-70.59,20
704088,-70.57,20
704977,-70.57,20
705866,-70.57,20
706755,-70.57,20
707644,-70.54,20
708533,-70.52,20
709422,-70.51,20
710311,-70.52,20
711200,-70.51,20
712089,-70.50,20
712978,-70.51,20
713867,-70.51,20
714756,-70.50,20
715645,-70.49,20
716534,-70.49,20
717423,-70.48,20
718312,-70.49,20
719201,-70.48,20
720090,-70.47,20
720979,-70.45,20
721868,-70.45,20
722757,-70.46,20
723646,-70.46,20
724535,-70.45,20
725424,-70.45,20
726313,-70.47,20
727202,-70.46,20
728091,-70.46,20
728980,-70.46,20
729869,-70.47,20
730758,-70.48,20
731647,-70.49,20
732536,-70.47,20
733425,-70.46,20
734314,-70.46,20
735203,-70.48,20
736092,-70.49,20
736981,-70.47,20
737870,-70.48,20
738759,-70.50,20
739648,-70.51,20
740537,-70.51,20
741426,-70.51,20
742315,-70.54,20
743204,-70.55,20
744093,-70.55,20
744982,-70.55,20
745871,-70.53,20
746760,-70.52,20
747649,-70.53,20
748538,-70.54,20
749427,-70.54,20
750316,-70.53,20
751205,-70.52,20
752094,-70.55,20
752983,-70.56,20
753872,-70.55,20
754761,-70.55,20
755650,-70.57,20
756539,-70.59,20
757428,-70.59,20
758317,-70.59,20
759206,-70.61,20
760095,-70.63,20
760984,-70.64,20
761873,-70.64,20
762762,-70.65,20
763651,-70.67,20
764540,-70.68,20
765429,-70.68,20
766318,-70.69,20
767207,-70.68,20
768096,-70.70,20
768985,-70.71,20
769874,-70.73,20
770763,-70.73,20
771652,-70.73,20
772541,-70.75,20
773430,-70.77,20
774319,-70.78,20
775208,-70.80,20
776097,-70.84,20
776986,-70.86,20
777875,-70.87,20
778764,-70.87,20
779653,-70.88,20
780542,-70.91,20
781431,-70.94,20
782320,-70.96,20
783209,-70.94,20
784098,-70.95,20
784987,-70.97,20
785876,-71.00,20
786765,-71.00,20
787654,-71.01,20
788543,-71.04,20
789432,-71.07,20
790321,-71.08,20
791210,-71.09,20
792099,-71.11,20
792988,-71.13,20
793877,-71.15,20
794766,-71.16,20
795655,-71.17,20
796544,-71.17,20
797433,-71.19,20
798322,-71.22,20
799211,-71.24,20
800100,-71.24,20
800989,-71.25,20
801878,-71.28,20
802767,-71.30,20
803656,-71.31,20
804545,-71.32,20
805434,-71.35,20
